,Age,Gender,Experience,Question,Option,Count
50,18-22 years old,Man,3-5 years,What is the biggest challenge you face as a developer?,Keeping up with new technologies,6
51,18-22 years old,Man,3-5 years,When choosing a programming language for a new project you prioritize:,The specific requirements of the project,5
52,18-22 years old,Man,3-5 years,When choosing a programming language for a new project you prioritize:,The language's community support and ecosystem,1
53,18-22 years old,Man,3-5 years,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Use project management tools to assign tasks and track progress ensuring everyone is aware of deadlines.,6
54,18-22 years old,Man,3-5 years,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",6
55,18-22 years old,Man,3-5 years,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,6
56,18-22 years old,Man,3-5 years,Software development contributes to societal challenges by:. Please select all that apply,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps",6
57,18-22 years old,Man,3-5 years,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,6
58,18-22 years old,Man,3-5 years,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Spend time upfront to learn the basics of the language,3
59,18-22 years old,Man,3-5 years,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Seek assistance from a colleague who knows the language,3
60,18-22 years old,Man,3-5 years,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards",6
61,18-22 years old,Man,3-5 years," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps",5
62,18-22 years old,Man,3-5 years," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Prioritize the bug based on its severity and impact, and if it's critical, reallocate resources to fix it immediately, even if this means pushing back the delivery date",1
63,18-22 years old,Woman,Less than 1 year,What is your preferred development environment?,macOS,5
64,18-22 years old,Woman,Less than 1 year,What is your preferred development environment?,Windows,1
65,18-22 years old,Woman,Less than 1 year,How do you learn to code? Please select all that apply.,Online Courses or Certification,5
66,18-22 years old,Woman,Less than 1 year,How do you learn to code? Please select all that apply.,"Online Courses or Certification, option_3",1
67,18-22 years old,Woman,Less than 1 year,What is the biggest challenge you face as a developer?,Keeping up with new technologies,6
68,18-22 years old,Woman,Less than 1 year,When choosing a programming language for a new project you prioritize:,The specific requirements of the project,5
69,18-22 years old,Woman,Less than 1 year,When choosing a programming language for a new project you prioritize:,The language's community support and ecosystem,1
70,18-22 years old,Woman,Less than 1 year,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Use project management tools to assign tasks and track progress ensuring everyone is aware of deadlines.,5
71,18-22 years old,Woman,Less than 1 year,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Implement a combination of written documentation for clarity and regular check-ins for personal engagement and immediate feedback.,1
72,18-22 years old,Woman,Less than 1 year,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",5
73,18-22 years old,Woman,Less than 1 year,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies, option_2",1
74,18-22 years old,Woman,Less than 1 year,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,6
75,18-22 years old,Woman,Less than 1 year,Software development contributes to societal challenges by:. Please select all that apply,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps",5
76,18-22 years old,Woman,Less than 1 year,Software development contributes to societal challenges by:. Please select all that apply,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps, option_2",1
77,18-22 years old,Woman,Less than 1 year,Software development contributes to societal challenges by:. Please select all that apply,"Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms",1
78,18-22 years old,Woman,Less than 1 year,Software development contributes to societal challenges by:. Please select all that apply,"Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications",1
79,18-22 years old,Woman,Less than 1 year,Software development contributes to societal challenges by:. Please select all that apply,"Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces",1
80,18-22 years old,Woman,Less than 1 year,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,6
81,18-22 years old,Woman,Less than 1 year,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Seek assistance from a colleague who knows the language,4
82,18-22 years old,Woman,Less than 1 year,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Spend time upfront to learn the basics of the language,2
83,18-22 years old,Woman,Less than 1 year,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards",6
84,18-22 years old,Woman,Less than 1 year," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps",6
85,18-22 years old,Woman,1-3 years,What is your preferred development environment?,macOS,3
86,18-22 years old,Woman,1-3 years,What is your preferred development environment?,Linux,3
87,18-22 years old,Woman,1-3 years,How do you learn to code? Please select all that apply.,Online Courses or Certification,6
88,18-22 years old,Woman,1-3 years,What is the biggest challenge you face as a developer?,Keeping up with new technologies,6
89,18-22 years old,Woman,1-3 years,When choosing a programming language for a new project you prioritize:,The specific requirements of the project,6
90,18-22 years old,Woman,1-3 years,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Use project management tools to assign tasks and track progress ensuring everyone is aware of deadlines.,6
91,18-22 years old,Woman,1-3 years,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",6
92,18-22 years old,Woman,1-3 years,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,6
93,18-22 years old,Woman,1-3 years,Software development contributes to societal challenges by:. Please select all that apply,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps",6
94,18-22 years old,Woman,1-3 years,Software development contributes to societal challenges by:. Please select all that apply,"Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms",1
95,18-22 years old,Woman,1-3 years,Software development contributes to societal challenges by:. Please select all that apply,"Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications",1
96,18-22 years old,Woman,1-3 years,Software development contributes to societal challenges by:. Please select all that apply,"Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces",1
97,18-22 years old,Woman,1-3 years,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,6
98,18-22 years old,Woman,1-3 years,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Spend time upfront to learn the basics of the language,3
99,18-22 years old,Woman,1-3 years,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Seek assistance from a colleague who knows the language,3
100,18-22 years old,Woman,1-3 years,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards",6
101,18-22 years old,Woman,1-3 years," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps",4
102,18-22 years old,Woman,1-3 years," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Prioritize the bug based on its severity and impact, and if it's critical, reallocate resources to fix it immediately, even if this means pushing back the delivery date",2
103,18-22 years old,Woman,3-5 years,What is your preferred development environment?,Linux,5
104,18-22 years old,Woman,3-5 years,What is your preferred development environment?,macOS,1
105,18-22 years old,Woman,3-5 years,How do you learn to code? Please select all that apply.,Online Courses or Certification,6
106,18-22 years old,Woman,3-5 years,What is the biggest challenge you face as a developer?,Keeping up with new technologies,6
107,18-22 years old,Woman,3-5 years,When choosing a programming language for a new project you prioritize:,The language's community support and ecosystem,1
108,18-22 years old,Woman,3-5 years,When choosing a programming language for a new project you prioritize:,The specific requirements of the project,5
109,18-22 years old,Woman,3-5 years,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Use project management tools to assign tasks and track progress ensuring everyone is aware of deadlines.,3
110,18-22 years old,Woman,3-5 years,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Implement a combination of written documentation for clarity and regular check-ins for personal engagement and immediate feedback.,2
111,18-22 years old,Woman,3-5 years,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Implement a combination of written documentation for clarity and regular check-ins for personal engagement and immediate feedback,1
112,18-22 years old,Woman,3-5 years,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",5
113,18-22 years old,Woman,3-5 years,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies",1
114,18-22 years old,Woman,3-5 years,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,6
115,18-22 years old,Woman,3-5 years,Software development contributes to societal challenges by:. Please select all that apply,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps",6
116,18-22 years old,Woman,3-5 years,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,6
117,18-22 years old,Woman,3-5 years,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Spend time upfront to learn the basics of the language,3
118,18-22 years old,Woman,3-5 years,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Seek assistance from a colleague who knows the language,3
119,18-22 years old,Woman,3-5 years,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards",6
120,18-22 years old,Woman,3-5 years," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps",5
121,18-22 years old,Woman,3-5 years," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Prioritize the bug based on its severity and impact, and if it's critical, reallocate resources to fix it immediately, even if this means pushing back the delivery date",1
122,23-26 years old,Man,Less than 1 year,What is your preferred development environment?,Linux,3
123,23-26 years old,Man,Less than 1 year,What is your preferred development environment?,Windows,3
124,23-26 years old,Man,Less than 1 year,How do you learn to code? Please select all that apply.,Online Courses or Certification,6
125,23-26 years old,Man,Less than 1 year,What is the biggest challenge you face as a developer?,Keeping up with new technologies,6
126,23-26 years old,Man,Less than 1 year,When choosing a programming language for a new project you prioritize:,The specific requirements of the project,5
127,23-26 years old,Man,Less than 1 year,When choosing a programming language for a new project you prioritize:,The language's community support and ecosystem,1
128,23-26 years old,Man,Less than 1 year,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Use project management tools to assign tasks and track progress ensuring everyone is aware of deadlines.,6
129,23-26 years old,Man,Less than 1 year,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",6
130,23-26 years old,Man,Less than 1 year,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,6
131,23-26 years old,Man,Less than 1 year,Software development contributes to societal challenges by:. Please select all that apply,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps",6
132,23-26 years old,Man,Less than 1 year,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,6
133,23-26 years old,Man,Less than 1 year,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Seek assistance from a colleague who knows the language,5
134,23-26 years old,Man,Less than 1 year,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Spend time upfront to learn the basics of the language,1
135,23-26 years old,Man,Less than 1 year,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards",6
136,23-26 years old,Man,Less than 1 year," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps",5
137,23-26 years old,Man,Less than 1 year," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Prioritize the bug based on its severity and impact, and if it's critical, reallocate resources to fix it immediately, even if this means pushing back the delivery date",1
138,23-26 years old,Man,1-3 years,What is your preferred development environment?,Linux,5
139,23-26 years old,Man,1-3 years,What is your preferred development environment?,Windows,1
140,23-26 years old,Man,1-3 years,How do you learn to code? Please select all that apply.,Online Courses or Certification,6
141,23-26 years old,Man,1-3 years,What is the biggest challenge you face as a developer?,Keeping up with new technologies,6
142,23-26 years old,Man,1-3 years,When choosing a programming language for a new project you prioritize:,The specific requirements of the project,6
143,23-26 years old,Man,1-3 years,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Use project management tools to assign tasks and track progress ensuring everyone is aware of deadlines.,6
144,23-26 years old,Man,1-3 years,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",6
145,23-26 years old,Man,1-3 years,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,6
146,23-26 years old,Man,1-3 years,Software development contributes to societal challenges by:. Please select all that apply,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps",6
147,23-26 years old,Man,1-3 years,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,6
148,23-26 years old,Man,1-3 years,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Seek assistance from a colleague who knows the language,5
149,23-26 years old,Man,1-3 years,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Spend time upfront to learn the basics of the language,1
150,23-26 years old,Man,1-3 years,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards",6
151,23-26 years old,Man,1-3 years," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps",4
152,23-26 years old,Man,1-3 years," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Prioritize the bug based on its severity and impact, and if it's critical, reallocate resources to fix it immediately, even if this means pushing back the delivery date",2
153,23-26 years old,Man,3-5 years,What is your preferred development environment?,Linux,6
154,23-26 years old,Man,3-5 years,How do you learn to code? Please select all that apply.,Online Courses or Certification,6
155,23-26 years old,Man,3-5 years,What is the biggest challenge you face as a developer?,Keeping up with new technologies,6
156,23-26 years old,Man,3-5 years,When choosing a programming language for a new project you prioritize:,The specific requirements of the project,6
157,23-26 years old,Man,3-5 years,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Use project management tools to assign tasks and track progress ensuring everyone is aware of deadlines.,6
158,23-26 years old,Man,3-5 years,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",6
159,23-26 years old,Man,3-5 years,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,6
160,23-26 years old,Man,3-5 years,Software development contributes to societal challenges by:. Please select all that apply,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps",6
161,23-26 years old,Man,3-5 years,Software development contributes to societal challenges by:. Please select all that apply,"Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms",1
162,23-26 years old,Man,3-5 years,Software development contributes to societal challenges by:. Please select all that apply,"Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications",1
163,23-26 years old,Man,3-5 years,Software development contributes to societal challenges by:. Please select all that apply,"Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces",1
164,23-26 years old,Man,3-5 years,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,6
165,23-26 years old,Man,3-5 years,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Seek assistance from a colleague who knows the language,5
166,23-26 years old,Man,3-5 years,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Spend time upfront to learn the basics of the language,1
167,23-26 years old,Man,3-5 years,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards",6
168,23-26 years old,Man,3-5 years," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps",6
169,23-26 years old,Woman,Less than 1 year,What is your preferred development environment?,macOS,6
170,23-26 years old,Woman,Less than 1 year,How do you learn to code? Please select all that apply.,Online Courses or Certification,6
171,23-26 years old,Woman,Less than 1 year,What is the biggest challenge you face as a developer?,Keeping up with new technologies,6
172,23-26 years old,Woman,Less than 1 year,When choosing a programming language for a new project you prioritize:,The specific requirements of the project,6
173,23-26 years old,Woman,Less than 1 year,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Use project management tools to assign tasks and track progress ensuring everyone is aware of deadlines.,5
174,23-26 years old,Woman,Less than 1 year,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Implement a combination of written documentation for clarity and regular check-ins for personal engagement and immediate feedback.,1
175,23-26 years old,Woman,Less than 1 year,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",6
176,23-26 years old,Woman,Less than 1 year,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,6
177,23-26 years old,Woman,Less than 1 year,Software development contributes to societal challenges by:. Please select all that apply,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps",6
178,23-26 years old,Woman,Less than 1 year,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,6
179,23-26 years old,Woman,Less than 1 year,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Spend time upfront to learn the basics of the language,2
180,23-26 years old,Woman,Less than 1 year,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Seek assistance from a colleague who knows the language,4
181,23-26 years old,Woman,Less than 1 year,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards",6
182,23-26 years old,Woman,Less than 1 year," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps",5
183,23-26 years old,Woman,Less than 1 year," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Prioritize the bug based on its severity and impact, and if it's critical, reallocate resources to fix it immediately, even if this means pushing back the delivery date",1
184,23-26 years old,Woman,1-3 years,What is your preferred development environment?,macOS,5
185,23-26 years old,Woman,1-3 years,What is your preferred development environment?,Linux,1
186,23-26 years old,Woman,1-3 years,How do you learn to code? Please select all that apply.,Online Courses or Certification,6
187,23-26 years old,Woman,1-3 years,What is the biggest challenge you face as a developer?,Keeping up with new technologies,6
188,23-26 years old,Woman,1-3 years,When choosing a programming language for a new project you prioritize:,The specific requirements of the project,6
189,23-26 years old,Woman,1-3 years,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Use project management tools to assign tasks and track progress ensuring everyone is aware of deadlines.,5
