,Age,Gender,Experience,Question,Option,Count
66,23-26 years old,Man, How do you learn to code?, How do you learn to code?,"Online Courses or Certification, Books, School (i.e, University, College, etc), Coding Bootcamp",1
67,23-26 years old,Man,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Keeping up with new technologies,5
68,23-26 years old,Man,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Time management,1
69,23-26 years old,Man,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Work-life balance,1
70,23-26 years old,Man,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Understanding existing codebases,1
71,23-26 years old,Man,"When choosing a programming language for a new project, you prioritize:","When choosing a programming language for a new project, you prioritize:",The specific requirements of the project,1
72,23-26 years old,Man,"When choosing a programming language for a new project, you prioritize:","When choosing a programming language for a new project, you prioritize:",The language's community support and ecosystem,2
73,23-26 years old,Man,"When choosing a programming language for a new project, you prioritize:","When choosing a programming language for a new project, you prioritize:",The language's performance and scalability,3
74,23-26 years old,Man,"When choosing a programming language for a new project, you prioritize:","When choosing a programming language for a new project, you prioritize:",The development team's familiarity with the language,2
75,23-26 years old,Man,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Use project management tools to assign tasks and track progress, ensuring everyone is aware of deadlines.",3
76,23-26 years old,Man,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Rely on informal chats and emails for quick updates, trusting team members to manage their time efficiently.",3
77,23-26 years old,Man,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Schedule regular meetings for updates and coordination, but keep them concise to avoid taking too much time away from work.",2
78,23-26 years old,Man,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,"Attend workshops, conferences, and webinars to gain insights from industry leaders and peers.",3
79,23-26 years old,Man,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",2
80,23-26 years old,Man,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,Participate in online courses and certification programs to acquire new skills and knowledge.,1
81,23-26 years old,Man,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies., Attend workshops, conferences, and webinars to gain insights from industry leaders and peers., Participate in online courses and certification programs to acquire new skills and knowledge., Engage in open-source projects and coding communities to get hands-on experience with cutting-edge technologies.",1
82,23-26 years old,Man,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,"Participate in online courses and certification programs to acquire new skills and knowledge., Engage in open-source projects and coding communities to get hands-on experience with cutting-edge technologies.",1
83,23-26 years old,Man,How do you balance between innovation and meeting project deadlines?,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,7
84,23-26 years old,Man,How do you balance between innovation and meeting project deadlines?,How do you balance between innovation and meeting project deadlines?,Focus solely on meeting deadlines,1
85,23-26 years old,Man,Software development contributes to societal challenges by:,Software development contributes to societal challenges by:,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps.",2
86,23-26 years old,Man,Software development contributes to societal challenges by:,Software development contributes to societal challenges by:,"Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms.",3
87,23-26 years old,Man,Software development contributes to societal challenges by:,Software development contributes to societal challenges by:,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications., Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces.",2
88,23-26 years old,Man,Software development contributes to societal challenges by:,Software development contributes to societal challenges by:,"Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications.",1
89,23-26 years old,Man,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,5
90,23-26 years old,Man,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Follow the AI’s suggestion and fire the employee,1
91,23-26 years old,Man,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Ignore the AI’s suggestion and keep the employee,2
92,23-26 years old,Man,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,Seek assistance from a colleague who knows the language.,1
93,23-26 years old,Man,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,Use your existing knowledge and adapt as you go.,4
94,23-26 years old,Man,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,Spend time upfront to learn the basics of the language.,2
95,23-26 years old,Man,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,Suggest reallocating the project to someone with the necessary expertise.,1
96,23-26 years old,Man,You discover a critical bug right before a software release. What immediate action do you take?,You discover a critical bug right before a software release. What immediate action do you take?,Communicate with stakeholders about the issue and seek their input on how to proceed.,2
97,23-26 years old,Man,You discover a critical bug right before a software release. What immediate action do you take?,You discover a critical bug right before a software release. What immediate action do you take?,Release a limited beta version to a select group of users for further testing while addressing the bug.,3
98,23-26 years old,Man,You discover a critical bug right before a software release. What immediate action do you take?,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards.",3
99,23-26 years old,Man,"In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps.",6
100,23-26 years old,Man,"In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Prioritize the bug based on its severity and impact, and if it's critical, reallocate resources to fix it immediately, even if this means pushing back the delivery date",1
101,23-26 years old,Man,"In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?",Delay the delivery without informing stakeholders to buy time for fixing the bug,1
102,23-26 years old,Woman,What is you preferred development environment?,What is you preferred development environment?,macOS,1
103,23-26 years old,Woman,What is you preferred development environment?,What is you preferred development environment?,Windows,1
104,23-26 years old,Woman, How do you learn to code?, How do you learn to code?,Online Courses or Certification,1
105,23-26 years old,Woman, How do you learn to code?, How do you learn to code?,"Online Courses or Certification, School (i.e, University, College, etc)",1
106,23-26 years old,Woman,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Time management,1
107,23-26 years old,Woman,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Keeping up with new technologies,1
108,23-26 years old,Woman,"When choosing a programming language for a new project, you prioritize:","When choosing a programming language for a new project, you prioritize:",The language's community support and ecosystem,1
109,23-26 years old,Woman,"When choosing a programming language for a new project, you prioritize:","When choosing a programming language for a new project, you prioritize:",The specific requirements of the project,1
110,23-26 years old,Woman,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Use project management tools to assign tasks and track progress, ensuring everyone is aware of deadlines.",1
111,23-26 years old,Woman,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Schedule regular meetings for updates and coordination, but keep them concise to avoid taking too much time away from work.",1
112,23-26 years old,Woman,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",1
113,23-26 years old,Woman,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies., Participate in online courses and certification programs to acquire new skills and knowledge.",1
114,23-26 years old,Woman,How do you balance between innovation and meeting project deadlines?,How do you balance between innovation and meeting project deadlines?,Adjust project scopes to include innovation,1
115,23-26 years old,Woman,How do you balance between innovation and meeting project deadlines?,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,1
116,23-26 years old,Woman,Software development contributes to societal challenges by:,Software development contributes to societal challenges by:,"Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms.",1
117,23-26 years old,Woman,Software development contributes to societal challenges by:,Software development contributes to societal challenges by:,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms., Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces.",1
118,23-26 years old,Woman,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,2
119,23-26 years old,Woman,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,Use your existing knowledge and adapt as you go.,2
120,23-26 years old,Woman,You discover a critical bug right before a software release. What immediate action do you take?,You discover a critical bug right before a software release. What immediate action do you take?,Proceed with the release as planned and fix the bug in a subsequent patch.,1
121,23-26 years old,Woman,You discover a critical bug right before a software release. What immediate action do you take?,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards.",1
122,23-26 years old,Woman,"In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps.",2
123,18-22 years old,Woman,What is you preferred development environment?,What is you preferred development environment?,macOS,1
124,18-22 years old,Woman,What is you preferred development environment?,What is you preferred development environment?,Windows,1
125,18-22 years old,Woman, How do you learn to code?, How do you learn to code?,"School (i.e, University, College, etc)",1
126,18-22 years old,Woman, How do you learn to code?, How do you learn to code?,Coding Bootcamp,1
127,18-22 years old,Woman,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Keeping up with new technologies,1
128,18-22 years old,Woman,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Work-life balance,1
129,18-22 years old,Woman,"When choosing a programming language for a new project, you prioritize:","When choosing a programming language for a new project, you prioritize:",The language's performance and scalability,1
130,18-22 years old,Woman,"When choosing a programming language for a new project, you prioritize:","When choosing a programming language for a new project, you prioritize:",The specific requirements of the project,1
131,18-22 years old,Woman,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Schedule regular meetings for updates and coordination, but keep them concise to avoid taking too much time away from work.",1
132,18-22 years old,Woman,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Use project management tools to assign tasks and track progress, ensuring everyone is aware of deadlines.",1
133,18-22 years old,Woman,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",2
134,18-22 years old,Woman,How do you balance between innovation and meeting project deadlines?,How do you balance between innovation and meeting project deadlines?,Adjust project scopes to include innovation,1
135,18-22 years old,Woman,How do you balance between innovation and meeting project deadlines?,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,1
136,18-22 years old,Woman,Software development contributes to societal challenges by:,Software development contributes to societal challenges by:,"Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms.",1
137,18-22 years old,Woman,Software development contributes to societal challenges by:,Software development contributes to societal challenges by:,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps.",1
138,18-22 years old,Woman,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,2
139,18-22 years old,Woman,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,Seek assistance from a colleague who knows the language.,2
140,18-22 years old,Woman,You discover a critical bug right before a software release. What immediate action do you take?,You discover a critical bug right before a software release. What immediate action do you take?,Communicate with stakeholders about the issue and seek their input on how to proceed.,2
141,18-22 years old,Woman,"In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps.",1
142,18-22 years old,Woman,"In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Document the bug and send an email to the client explaining the issue, suggesting a new timeline for delivery",1
143,18-22 years old,Man,What is you preferred development environment?,What is you preferred development environment?,Windows,1
144,18-22 years old,Man, How do you learn to code?, How do you learn to code?,Online Courses or Certification,1
145,18-22 years old,Man,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Keeping up with new technologies,1
146,18-22 years old,Man,"When choosing a programming language for a new project, you prioritize:","When choosing a programming language for a new project, you prioritize:",The language's community support and ecosystem,1
147,18-22 years old,Man,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Use project management tools to assign tasks and track progress, ensuring everyone is aware of deadlines.",1
148,18-22 years old,Man,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",1
