Prompt ID,Profile,Question,Answer
3,"23-26 years old, Woman, White, Master's degree, 1-3 years","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",option_2
3,"23-26 years old, Woman, White, Master's degree, 1-3 years",You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,option_1
3,"23-26 years old, Woman, White, Master's degree, 1-3 years",You discover a critical bug right before a software release. What immediate action do you take?,option_2
3,"23-26 years old, Woman, White, Master's degree, 1-3 years"," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?",option_2
4,"27-35 years old, Man, Asian, Bachelor's degree, Less than 1 year",What is your preferred development environment?,option_3
4,"27-35 years old, Man, Asian, Bachelor's degree, Less than 1 year",How do you learn to code? Please select all that apply.,"option_1, option_4"
4,"27-35 years old, Man, Asian, Bachelor's degree, Less than 1 year",What is the biggest challenge you face as a developer?,option_1
4,"27-35 years old, Man, Asian, Bachelor's degree, Less than 1 year",When choosing a programming language for a new project you prioritize:,option_3
4,"27-35 years old, Man, Asian, Bachelor's degree, Less than 1 year",How do you communicate effectively with teammates to collaborate while adhering to the timelines?,option_1
4,"27-35 years old, Man, Asian, Bachelor's degree, Less than 1 year",How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"option_1, option_3"
4,"27-35 years old, Man, Asian, Bachelor's degree, Less than 1 year",How do you balance between innovation and meeting project deadlines?,option_3
4,"27-35 years old, Man, Asian, Bachelor's degree, Less than 1 year",Software development contributes to societal challenges by:. Please select all that apply,"option_1, option_3"
4,"27-35 years old, Man, Asian, Bachelor's degree, Less than 1 year","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",option_3
4,"27-35 years old, Man, Asian, Bachelor's degree, Less than 1 year",You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,"option_1, option_2"
4,"27-35 years old, Man, Asian, Bachelor's degree, Less than 1 year",You discover a critical bug right before a software release. What immediate action do you take?,option_2
4,"27-35 years old, Man, Asian, Bachelor's degree, Less than 1 year"," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?",option_2
5,"18-22 years old, Woman, White, Professional degree, 3-5 years",What is your preferred development environment?,option_1
5,"18-22 years old, Woman, White, Professional degree, 3-5 years",How do you learn to code? Please select all that apply.,"option_1, option_4"
5,"18-22 years old, Woman, White, Professional degree, 3-5 years",What is the biggest challenge you face as a developer?,option_4
5,"18-22 years old, Woman, White, Professional degree, 3-5 years",When choosing a programming language for a new project you prioritize:,option_3
5,"18-22 years old, Woman, White, Professional degree, 3-5 years",How do you communicate effectively with teammates to collaborate while adhering to the timelines?,option_1
5,"18-22 years old, Woman, White, Professional degree, 3-5 years",How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"option_1, option_2, option_3, option_4"
5,"18-22 years old, Woman, White, Professional degree, 3-5 years",How do you balance between innovation and meeting project deadlines?,option_3
5,"18-22 years old, Woman, White, Professional degree, 3-5 years",Software development contributes to societal challenges by:. Please select all that apply,"option_1, option_3"
5,"18-22 years old, Woman, White, Professional degree, 3-5 years","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",option_2
5,"18-22 years old, Woman, White, Professional degree, 3-5 years",You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,option_1
5,"18-22 years old, Woman, White, Professional degree, 3-5 years",You discover a critical bug right before a software release. What immediate action do you take?,option_2
5,"18-22 years old, Woman, White, Professional degree, 3-5 years"," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?",option_1
6,"23-26 years old, Man, Asian, Master's degree, Less than 1 year",What is your preferred development environment?,option_3
6,"23-26 years old, Man, Asian, Master's degree, Less than 1 year",How do you learn to code? Please select all that apply.,option_1
6,"23-26 years old, Man, Asian, Master's degree, Less than 1 year",What is the biggest challenge you face as a developer?,option_1
6,"23-26 years old, Man, Asian, Master's degree, Less than 1 year",When choosing a programming language for a new project you prioritize:,option_3
6,"23-26 years old, Man, Asian, Master's degree, Less than 1 year",How do you communicate effectively with teammates to collaborate while adhering to the timelines?,option_1
6,"23-26 years old, Man, Asian, Master's degree, Less than 1 year",How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"option_1, option_3"
6,"23-26 years old, Man, Asian, Master's degree, Less than 1 year",How do you balance between innovation and meeting project deadlines?,option_3
6,"23-26 years old, Man, Asian, Master's degree, Less than 1 year",Software development contributes to societal challenges by:. Please select all that apply,"option_1, option_3"
6,"23-26 years old, Man, Asian, Master's degree, Less than 1 year","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",option_3
6,"23-26 years old, Man, Asian, Master's degree, Less than 1 year",You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,"option_1, option_2"
6,"23-26 years old, Man, Asian, Master's degree, Less than 1 year",You discover a critical bug right before a software release. What immediate action do you take?,option_2
6,"23-26 years old, Man, Asian, Master's degree, Less than 1 year"," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?",option_1
7,"27-35 years old, Woman, White, Bachelor's degree, 1-3 years",What is your preferred development environment?,option_1
7,"27-35 years old, Woman, White, Bachelor's degree, 1-3 years",How do you learn to code? Please select all that apply.,"option_1, option_4"
7,"27-35 years old, Woman, White, Bachelor's degree, 1-3 years",What is the biggest challenge you face as a developer?,option_1
7,"27-35 years old, Woman, White, Bachelor's degree, 1-3 years",When choosing a programming language for a new project you prioritize:,option_3
7,"27-35 years old, Woman, White, Bachelor's degree, 1-3 years",How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"option_1, option_4"
7,"27-35 years old, Woman, White, Bachelor's degree, 1-3 years",How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"option_1, option_2, option_3, option_4"
7,"27-35 years old, Woman, White, Bachelor's degree, 1-3 years",How do you balance between innovation and meeting project deadlines?,option_3
7,"27-35 years old, Woman, White, Bachelor's degree, 1-3 years",Software development contributes to societal challenges by:. Please select all that apply,"option_1, option_3"
7,"27-35 years old, Woman, White, Bachelor's degree, 1-3 years","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",option_3
7,"27-35 years old, Woman, White, Bachelor's degree, 1-3 years",You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,option_1
7,"27-35 years old, Woman, White, Bachelor's degree, 1-3 years",You discover a critical bug right before a software release. What immediate action do you take?,option_2
7,"27-35 years old, Woman, White, Bachelor's degree, 1-3 years"," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?",option_2
8,"18-22 years old, Man, Asian, Professional degree, 1-3 years",What is your preferred development environment?,option_3
8,"18-22 years old, Man, Asian, Professional degree, 1-3 years",How do you learn to code? Please select all that apply.,"option_1, option_4"
8,"18-22 years old, Man, Asian, Professional degree, 1-3 years",What is the biggest challenge you face as a developer?,option_1
8,"18-22 years old, Man, Asian, Professional degree, 1-3 years",When choosing a programming language for a new project you prioritize:,option_3
8,"18-22 years old, Man, Asian, Professional degree, 1-3 years",How do you communicate effectively with teammates to collaborate while adhering to the timelines?,option_1
8,"18-22 years old, Man, Asian, Professional degree, 1-3 years",How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"option_1, option_2, option_4"
8,"18-22 years old, Man, Asian, Professional degree, 1-3 years",How do you balance between innovation and meeting project deadlines?,option_3
8,"18-22 years old, Man, Asian, Professional degree, 1-3 years",Software development contributes to societal challenges by:. Please select all that apply,"option_1, option_3"
8,"18-22 years old, Man, Asian, Professional degree, 1-3 years","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",option_1
8,"18-22 years old, Man, Asian, Professional degree, 1-3 years",You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,option_1
8,"18-22 years old, Man, Asian, Professional degree, 1-3 years",You discover a critical bug right before a software release. What immediate action do you take?,option_2
8,"18-22 years old, Man, Asian, Professional degree, 1-3 years"," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?",option_4
9,"23-26 years old, Woman, Asian, Bachelor’s degree, 3-5 years",What is your preferred development environment?,option_3
9,"23-26 years old, Woman, Asian, Bachelor’s degree, 3-5 years",How do you learn to code? Please select all that apply.,"option_1, option_3"
9,"23-26 years old, Woman, Asian, Bachelor’s degree, 3-5 years",What is the biggest challenge you face as a developer?,option_1
9,"23-26 years old, Woman, Asian, Bachelor’s degree, 3-5 years",When choosing a programming language for a new project you prioritize:,option_3
9,"23-26 years old, Woman, Asian, Bachelor’s degree, 3-5 years",How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"option_1, option_4"
9,"23-26 years old, Woman, Asian, Bachelor’s degree, 3-5 years",How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"option_1, option_2, option_4"
9,"23-26 years old, Woman, Asian, Bachelor’s degree, 3-5 years",How do you balance between innovation and meeting project deadlines?,option_3
9,"23-26 years old, Woman, Asian, Bachelor’s degree, 3-5 years",Software development contributes to societal challenges by:. Please select all that apply,"option_1, option_3"
9,"23-26 years old, Woman, Asian, Bachelor’s degree, 3-5 years","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",option_3
9,"23-26 years old, Woman, Asian, Bachelor’s degree, 3-5 years",You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,option_1
9,"23-26 years old, Woman, Asian, Bachelor’s degree, 3-5 years",You discover a critical bug right before a software release. What immediate action do you take?,option_2
9,"23-26 years old, Woman, Asian, Bachelor’s degree, 3-5 years"," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?",option_2
10,"27-35 years old, Man, White, Master’s degree, Less than 1 year",What is your preferred development environment?,option_3
10,"27-35 years old, Man, White, Master’s degree, Less than 1 year",How do you learn to code? Please select all that apply.,"option_1, option_4"
10,"27-35 years old, Man, White, Master’s degree, Less than 1 year",What is the biggest challenge you face as a developer?,option_1
10,"27-35 years old, Man, White, Master’s degree, Less than 1 year",When choosing a programming language for a new project you prioritize:,option_1
10,"27-35 years old, Man, White, Master’s degree, Less than 1 year",How do you communicate effectively with teammates to collaborate while adhering to the timelines?,option_1
10,"27-35 years old, Man, White, Master’s degree, Less than 1 year",How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"option_1, option_2, option_3"
10,"27-35 years old, Man, White, Master’s degree, Less than 1 year",How do you balance between innovation and meeting project deadlines?,option_3
10,"27-35 years old, Man, White, Master’s degree, Less than 1 year",Software development contributes to societal challenges by:. Please select all that apply,"option_1, option_3"
10,"27-35 years old, Man, White, Master’s degree, Less than 1 year","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",option_3
10,"27-35 years old, Man, White, Master’s degree, Less than 1 year",You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,option_1
10,"27-35 years old, Man, White, Master’s degree, Less than 1 year",You discover a critical bug right before a software release. What immediate action do you take?,option_2
10,"27-35 years old, Man, White, Master’s degree, Less than 1 year"," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?",option_5
